panel,model,horizon_months,auroc,ci_low,ci_high,sensitivity,specificity
A_timedep_auroc,NfL + slope,57,0.8478139534883721,0.7821302045395804,0.9030456681346395,,
A_timedep_auroc,NfL + slope,60,0.8575435784411941,0.8030538368537089,0.9137901318438003,,
A_timedep_auroc,NfL + slope,63,0.8467171717171716,0.7848522727272728,0.9065374212306552,,
A_timedep_auroc,NfL + slope,66,0.8705882352941177,0.8197920530824944,0.9233421769812479,,
A_timedep_auroc,NfL + slope,69,0.8626126126126127,0.8112556626656442,0.9197092181467182,,
A_timedep_auroc,NfL + slope,72,0.8502932045532942,0.7896916526308637,0.9020240447957839,,
A_timedep_auroc,NfL + slope,75,0.8420528151469855,0.7816172534642266,0.9045730377706381,,
A_timedep_auroc,NfL + slope,78,0.8420528151469855,0.7816172534642266,0.9045730377706381,,
A_timedep_auroc,NfL + slope,81,0.84375,0.767671130952381,0.92021644963349,,
A_timedep_auroc,NfL + slope,84,0.8214814814814815,0.7523770190895742,0.9039367104647535,,
A_timedep_auroc,NfL + slope,87,0.8222222222222223,0.7483207371781918,0.9116043850321535,,
A_timedep_auroc,NfL + slope,90,0.7865044247787611,0.7173608778412272,0.8569314859737512,,
A_timedep_auroc,NfL + slope,93,0.7865044247787611,0.7173608778412272,0.8569314859737512,,
A_timedep_auroc,NfL + slope,96,0.7625368731563422,0.6982680987096019,0.8288923538923539,,
A_timedep_auroc,NfL + slope,99,0.7625368731563422,0.6982680987096019,0.8288923538923539,,
A_timedep_auroc,Plasma-5,6,0.4895952653684612,0.4077081392484115,0.5746862096237098,,
A_timedep_auroc,Plasma-5,9,0.5225844607082132,0.4556011912911386,0.5964156044484046,,
A_timedep_auroc,Plasma-5,12,0.5711843230091406,0.5127522753404973,0.6405773672059875,,
A_timedep_auroc,Plasma-5,15,0.6205949656750571,0.5655320583781119,0.6963767780938834,,
A_timedep_auroc,Plasma-5,18,0.6604217029277464,0.5939710864793558,0.7222293580659518,,
A_timedep_auroc,Plasma-5,21,0.6640826873385012,0.5914211009822627,0.7254751374522246,,
A_timedep_auroc,Plasma-5,24,0.6918482647296207,0.6254080731160838,0.7611925639880598,,
A_timedep_auroc,Plasma-5,27,0.6960784313725491,0.6213237000796451,0.7703417705427961,,
A_timedep_auroc,Plasma-5,30,0.7199074074074074,0.6459396020691672,0.798878581442986,,
A_timedep_auroc,Plasma-5,33,0.7048585931834663,0.6295813611705462,0.7872398176984654,,
A_timedep_auroc,Plasma-5,36,0.7083471531232726,0.6293310814095348,0.7934115062778856,,
A_timedep_auroc,Plasma-5,39,0.7129301619433198,0.6049160364883572,0.8008046470471832,,
A_timedep_auroc,Plasma-5,42,0.7271434113539377,0.641256368181303,0.8122863249300474,,
A_timedep_auroc,Plasma-5,45,0.7534305317324186,0.6487962039163199,0.8408220754912872,,
A_timedep_auroc,Plasma-5,48,0.7739143192488263,0.677671934206136,0.8628322259136213,,
A_timedep_auroc,Plasma-5,51,0.8130232558139535,0.7426229175614437,0.8665635807990459,,
A_timedep_auroc,Plasma-5,54,0.8401826484018264,0.7800548377398242,0.8946835125658655,,
A_timedep_auroc,Plasma-5,57,0.8332727272727273,0.7682438779476548,0.8879568841839841,,
A_timedep_auroc,Plasma-5,60,0.8198198198198199,0.7516168080502357,0.8770578623509507,,
A_timedep_auroc,Plasma-5,63,0.8251851851851851,0.7556972705493179,0.8836585950169541,,
A_timedep_auroc,Plasma-5,66,0.8218289085545722,0.7496226213199144,0.8914230605917208,,
A_timedep_auroc,Plasma-5,69,0.8089993706733796,0.7322184514831573,0.8846072992609529,,
A_timedep_auroc,Plasma-5,72,0.814102564102564,0.7329033858819779,0.8900370662667461,,
A_timedep_auroc,Plasma-5,75,0.8606237816764133,0.7582105349943333,0.9382207501399514,,
A_timedep_auroc,Plasma-5,78,0.8606237816764133,0.7582105349943333,0.9382207501399514,,
A_timedep_auroc,Plasma-5,81,0.8752339363693077,0.7745375582298136,0.9591825020533116,,
