fs,clf,horizon,auc_mean,auc_std,auc_count,bal_mean,bal_std,bal_count,sens_mean,sens_std,sens_count,spec_mean,spec_std,spec_count,ppv_mean,ppv_std,ppv_count,npv_mean,npv_std,npv_count
NfL,ExTrees,36,0.7024213075060532,0.059535726514711125,200,0.6529721549636804,0.05892931669116417,200,0.5673728813559322,0.022856027014649814,200,0.7385714285714287,0.09565474785177153,200,0.9014681584418427,0.036010394993980364,200,0.2882922502334267,0.03710782784001411,200
NfL,ExTrees,54,0.6759951923076923,0.07537954038295126,200,0.6442548076923076,0.07862430945937454,200,0.5403846153846154,0.017239374680319466,200,0.748125,0.14093053770310549,200,0.9457985009300799,0.03016102141621558,200,0.16685270774976654,0.03125473767352528,200
NfL,ExTrees,75,0.7002363184079602,0.12352868716141106,200,0.6710820895522387,0.12321197311770878,200,0.5171641791044777,0.01213281388082046,200,0.825,0.23614600523841484,200,0.9850862460204566,0.02014141204076724,200,0.07106561942958999,0.020305197434593157,200
NfL,GBM,12,0.6387010347376202,0.05397116554021687,200,0.6025369549150037,0.05165145174970629,200,0.6278787878787879,0.0606943167354474,200,0.5771951219512195,0.05006743947518332,200,0.5445966540773874,0.04968822682741748,200,0.6585645225589956,0.05308921866830961,200
NfL,GBM,24,0.5975160256410257,0.059102414739360114,200,0.579143772893773,0.05666583485538846,200,0.5701923076923077,0.039639386486398975,200,0.5880952380952381,0.08209780419485832,200,0.7741371126969538,0.044302582309765554,200,0.35617526109021147,0.04924612804940827,200
NfL,GBM,36,0.6397730024213075,0.06265969909578369,200,0.5898426150121066,0.0635994865931311,200,0.5625423728813559,0.030603435099361257,200,0.6171428571428571,0.10931396816761385,200,0.8613286683605181,0.037757445417011315,200,0.25056400323469125,0.04170662425200416,200
NfL,GBM,54,0.6200817307692308,0.07668699139905955,200,0.5894375000000001,0.08454108849818234,200,0.5670000000000001,0.0401121647033454,200,0.611875,0.16164857153217277,200,0.9227683010954872,0.03030899779513923,200,0.14783088221646096,0.03713865565871462,200
NfL,GBM,75,0.6408830845771145,0.13666394071130333,200,0.588047263681592,0.1431678157413314,200,0.5877611940298507,0.059033235926629686,200,0.5883333333333333,0.2988485253340908,200,0.9703313935339771,0.020518918784311037,200,0.058960555021023396,0.02910425333821706,200
NfL,LDA,12,0.7035144124168515,0.050238247311422096,200,0.6592941611234293,0.0476377141944321,200,0.6765151515151515,0.05278773735058696,200,0.6420731707317073,0.042487691038277306,200,0.6033783783783784,0.047080954934307286,200,0.7114864864864865,0.047080954934307286,200
NfL,LDA,24,0.66242673992674,0.05547927733948769,200,0.6388415750915751,0.052662123931454904,200,0.5867307692307692,0.03029875623453571,200,0.6909523809523809,0.07502549162837413,200,0.8245945945945947,0.04258203578907724,200,0.40305555555555556,0.043764870116551585,200
