group,time,surv,n_risk,strata,repeat_id,signature
Low,100,0.08063785417742819,3,group=Low,2,Plasma-5
High,0,1,133,group=High,3,Plasma-5
Low,0,1,115,group=Low,3,Plasma-5
High,1,0.9924812030075187,132,group=High,3,Plasma-5
Low,1,0.991304347826087,114,group=Low,3,Plasma-5
High,2,0.9398496240601504,126,group=High,3,Plasma-5
Low,2,0.9565217391304347,110,group=Low,3,Plasma-5
High,3,0.8796992481203008,119,group=High,3,Plasma-5
Low,3,0.8869565217391305,104,group=Low,3,Plasma-5
High,4,0.8421052631578948,112,group=High,3,Plasma-5
Low,4,0.8695652173913044,102,group=Low,3,Plasma-5
High,5,0.8120300751879701,108,group=High,3,Plasma-5
Low,5,0.8347826086956522,96,group=Low,3,Plasma-5
High,6,0.766917293233083,102,group=High,3,Plasma-5
Low,6,0.8000000000000002,92,group=Low,3,Plasma-5
High,7,0.7218045112781958,96,group=High,3,Plasma-5
Low,7,0.7739130434782611,90,group=Low,3,Plasma-5
High,8,0.6691729323308274,91,group=High,3,Plasma-5
Low,8,0.765217391304348,88,group=Low,3,Plasma-5
High,9,0.6466165413533838,88,group=High,3,Plasma-5
Low,9,0.7043478260869567,81,group=Low,3,Plasma-5
High,10,0.5864661654135342,78,group=High,3,Plasma-5
Low,10,0.6695652173913046,77,group=Low,3,Plasma-5
High,11,0.5488721804511283,73,group=High,3,Plasma-5
Low,11,0.6347826086956524,74,group=Low,3,Plasma-5
High,12,0.5037593984962413,68,group=High,3,Plasma-5
Low,12,0.6086956521739133,70,group=Low,3,Plasma-5
High,13,0.4436090225563915,59,group=High,3,Plasma-5
Low,13,0.6000000000000003,69,group=Low,3,Plasma-5
High,14,0.42105263157894784,57,group=High,3,Plasma-5
Low,14,0.5739130434782612,66,group=Low,3,Plasma-5
High,15,0.3759398496240606,50,group=High,3,Plasma-5
Low,15,0.5652173913043482,65,group=Low,3,Plasma-5
High,16,0.3458646616541357,46,group=High,3,Plasma-5
Low,16,0.5652173913043482,65,group=Low,3,Plasma-5
High,17,0.3308270676691733,44,group=High,3,Plasma-5
Low,17,0.5565217391304352,64,group=Low,3,Plasma-5
High,18,0.2932330827067673,39,group=High,3,Plasma-5
Low,18,0.5478260869565221,63,group=Low,3,Plasma-5
High,19,0.2631578947368425,35,group=High,3,Plasma-5
Low,19,0.530434782608696,62,group=Low,3,Plasma-5
High,20,0.2556390977443613,34,group=High,3,Plasma-5
Low,20,0.5043478260869568,58,group=Low,3,Plasma-5
High,21,0.22556390977443647,30,group=High,3,Plasma-5
Low,21,0.48695652173913073,56,group=Low,3,Plasma-5
High,22,0.21804511278195526,29,group=High,3,Plasma-5
Low,22,0.46956521739130463,54,group=Low,3,Plasma-5
High,23,0.21052631578947406,28,group=High,3,Plasma-5
Low,23,0.4434782608695655,51,group=Low,3,Plasma-5
High,24,0.1654135338345868,23,group=High,3,Plasma-5
Low,24,0.42590949423247587,49,group=Low,3,Plasma-5
High,25,0.15037593984962436,21,group=High,3,Plasma-5
Low,25,0.4081632653061227,46,group=Low,3,Plasma-5
High,26,0.14285714285714313,19,group=High,3,Plasma-5
Low,26,0.39041703637976954,44,group=Low,3,Plasma-5
High,27,0.1353383458646619,18,group=High,3,Plasma-5
Low,27,0.37267080745341635,42,group=Low,3,Plasma-5
High,28,0.1353383458646619,18,group=High,3,Plasma-5
Low,28,0.37267080745341635,42,group=Low,3,Plasma-5
High,29,0.11278195488721823,15,group=High,3,Plasma-5
Low,29,0.37267080745341635,42,group=Low,3,Plasma-5
High,30,0.10526315789473702,14,group=High,3,Plasma-5
Low,30,0.36358127556430864,41,group=Low,3,Plasma-5
High,31,0.0977443609022558,13,group=High,3,Plasma-5
Low,31,0.3544917436752009,39,group=Low,3,Plasma-5
High,32,0.0977443609022558,13,group=High,3,Plasma-5
Low,32,0.3363126798969855,37,group=Low,3,Plasma-5
High,33,0.0977443609022558,13,group=High,3,Plasma-5
Low,33,0.3272231480078778,36,group=Low,3,Plasma-5
High,34,0.09022556390977458,12,group=High,3,Plasma-5
Low,34,0.30904408422966234,34,group=Low,3,Plasma-5
High,35,0.09022556390977458,12,group=High,3,Plasma-5
Low,35,0.30904408422966234,34,group=Low,3,Plasma-5
High,36,0.09022556390977458,12,group=High,3,Plasma-5
Low,36,0.2999545523405546,33,group=Low,3,Plasma-5
High,37,0.09022556390977458,12,group=High,3,Plasma-5
Low,37,0.2817754885623392,31,group=Low,3,Plasma-5
High,38,0.07518796992481215,10,group=High,3,Plasma-5
Low,38,0.2726859566732315,30,group=Low,3,Plasma-5
High,39,0.07518796992481215,10,group=High,3,Plasma-5
Low,39,0.25450689289501605,28,group=Low,3,Plasma-5
High,40,0.07518796992481215,10,group=High,3,Plasma-5
Low,40,0.25450689289501605,28,group=Low,3,Plasma-5
High,41,0.06766917293233093,9,group=High,3,Plasma-5
Low,41,0.25450689289501605,28,group=Low,3,Plasma-5
High,42,0.06766917293233093,9,group=High,3,Plasma-5
Low,42,0.25450689289501605,28,group=Low,3,Plasma-5
High,43,0.06766917293233093,9,group=High,3,Plasma-5
Low,43,0.25450689289501605,28,group=Low,3,Plasma-5
High,44,0.06766917293233093,9,group=High,3,Plasma-5
Low,44,0.25450689289501605,28,group=Low,3,Plasma-5
High,45,0.0526315789473685,7,group=High,3,Plasma-5
Low,45,0.2450807116766821,26,group=Low,3,Plasma-5
High,46,0.045112781954887285,6,group=High,3,Plasma-5
